,,0
params,Women Occupation $\%$ Difference,0.00034556628912644447
params,const,-0.02946211520799098
params,yr_1910,0.006355359079844512
params,yr_1920,0.0028124804979751277
params,yr_1930,-0.0054847358804518175
params,yr_1940,-0.004263656601199393
params,yr_1950,-0.011908117272462635
params,yr_1960,-0.014082580839997192
params,yr_1970,-0.0029804556040865463
params,yr_1980,-0.010396007567148056
params,yr_1990,0.010485598979535072
params,_f_test,38.404806473510625
pvals,Women Occupation $\%$ Difference,4.4302807054436136e-49
pvals,const,7.070851354683646e-73
pvals,yr_1910,0.04755544828253799
pvals,yr_1920,0.3676093858721665
pvals,yr_1930,0.06890090979802059
pvals,yr_1940,0.19509071594158467
pvals,yr_1950,0.00015084405441078956
pvals,yr_1960,1.6938258646358393e-05
pvals,yr_1970,0.34996648604565717
pvals,yr_1980,0.0009131853302133592
pvals,yr_1990,0.0009655668703134595
pvals,_f_test,9.10897540800172e-52
std,Women Occupation $\%$ Difference,2.0956604651260017e-05
std,const,0.001372701284848493
std,yr_1910,0.0031997243253194074
std,yr_1920,0.0031188138551327474
std,yr_1930,0.0030086245205582316
std,yr_1940,0.003286291115030663
std,yr_1950,0.0031180890573905746
std,yr_1960,0.003241661395013787
std,yr_1970,0.003185838857464011
std,yr_1980,0.0031162814749751085
std,yr_1990,0.0031581768295324006
statistics,adj_r2,0.39856265348575526
statistics,r2,0.40921803954604696
