,,0
params,Human Stereotype Score,4.4340501896377674e-05
params,const,-0.019789251579143102
params,counts,2.932243864962564e-10
params,_f_test,7.463931387724025
pvals,Human Stereotype Score,0.00014613215346283032
pvals,const,3.869660703268073e-37
pvals,counts,0.9496573026876054
pvals,_f_test,0.0007254147943626773
std,Human Stereotype Score,1.1478142060880118e-05
std,const,0.0012844591320000421
std,counts,4.639113512233835e-09
statistics,adj_r2,0.053436849427498045
statistics,r2,0.061703776506733976
