,,0
params,Human Stereotype Score,1.7377884066705252e-05
params,const,-0.019968207170926105
params,counts,1.208217667004649e-06
params,_f_test,3.130109705585643
pvals,Human Stereotype Score,0.021057481631232895
pvals,const,2.036073368911212e-19
pvals,counts,0.4216822503275732
pvals,_f_test,0.046562285270018156
std,Human Stereotype Score,7.454022834070903e-06
std,const,0.001921607293700632
std,counts,1.4995856914018327e-06
statistics,adj_r2,0.027090254783586065
statistics,r2,0.039808029230859465
