,,0
params,Women Occupation $\%$ Difference,0.00023629144836551368
params,const,-0.03464943924873734
params,yr_1910,-0.007591055017986464
params,yr_1920,-0.010939121313267021
params,yr_1930,0.0005935713138992412
params,yr_1940,-0.005275157552760761
params,yr_1950,-0.014261837424339712
params,yr_1960,-0.010084084982804987
params,yr_1970,0.0033097309949369565
params,yr_1980,0.0010822824276443713
params,yr_1990,0.008516232305940999
params,_f_test,29.588960727376584
pvals,Women Occupation $\%$ Difference,6.275207483790584e-36
pvals,const,6.456495071866829e-123
pvals,yr_1910,0.005058539643143992
pvals,yr_1920,5.3390209123317745e-05
pvals,yr_1930,0.8244773865995424
pvals,yr_1940,0.07004099527735375
pvals,yr_1950,1.832204426455095e-07
pvals,yr_1960,0.0002047347691118311
pvals,yr_1970,0.22064198481743044
pvals,yr_1980,0.6927470694012112
pvals,yr_1990,0.002029514628919028
pvals,_f_test,4.446345706835758e-43
std,Women Occupation $\%$ Difference,1.7710546418412326e-05
std,const,0.001158208035914947
std,yr_1910,0.002698370012784926
std,yr_1920,0.0026888664317182114
std,yr_1930,0.0026751590075610784
std,yr_1940,0.002906841046631357
std,yr_1950,0.0027038026544275898
std,yr_1960,0.0026998349854651885
std,yr_1970,0.002699522497270634
std,yr_1980,0.0027377947227147687
std,yr_1990,0.0027481865363694576
statistics,adj_r2,0.2877115738874091
statistics,r2,0.29777530361270477
