,,0
params,Human Stereotype Score,2.8415652660473942e-05
params,const,-0.014262604231151091
params,counts,4.0052421386154185e-09
params,_f_test,11.872957043526492
pvals,Human Stereotype Score,6.668918318790461e-06
pvals,const,2.9671878275035075e-21
pvals,counts,0.12868714048122826
pvals,_f_test,1.2470708403628365e-05
std,Human Stereotype Score,6.16153510481335e-06
std,const,0.0013593276979929863
std,counts,2.6266372341522984e-09
statistics,adj_r2,0.0867248990526055
statistics,r2,0.09470110080760463
