,,0
params,Human Stereotype Score,5.6715777938180496e-05
params,const,-0.03238526945924203
params,counts,-1.2584262438042448e-07
params,_f_test,5.875584832645007
pvals,Human Stereotype Score,0.0007811112561975037
pvals,const,9.030517507641632e-32
pvals,counts,0.9496780732717709
pvals,_f_test,0.0034703055606720343
std,Human Stereotype Score,1.6548807058382483e-05
std,const,0.002170955919148714
std,counts,1.990760781967791e-06
statistics,adj_r2,0.05847736891359123
statistics,r2,0.07047128778093403
